"","summary(DEGsummary$ID_group, maxsum = 1e+05)","ID_group"
"1",5,"A2M_-down-regulated"
"2",4,"AC007365.4_up-regulated"
"3",4,"AC010468.1_up-regulated"
"4",4,"AHNAK_-down-regulated"
"5",4,"AMH_up-regulated"
"6",4,"APCDD1_-down-regulated"
"7",4,"ARHGAP23_-down-regulated"
"8",4,"ARHGEF17_-down-regulated"
"9",4,"ATP5D_up-regulated"
"10",5,"ATP9A_-down-regulated"
"11",4,"BHLHE41_-down-regulated"
"12",4,"BLOC1S1_up-regulated"
"13",4,"C12orf73_up-regulated"
"14",5,"C1QBP_up-regulated"
"15",5,"C8G_up-regulated"
"16",4,"C8orf59_up-regulated"
"17",4,"C9orf40_up-regulated"
"18",4,"CCNB1_up-regulated"
"19",4,"CDCA2_up-regulated"
"20",4,"CENPM_up-regulated"
"21",4,"COX6A1P2_up-regulated"
"22",5,"CPNE7_up-regulated"
"23",4,"CREB3L1_up-regulated"
"24",4,"CTB-79E8.3_up-regulated"
"25",4,"CTD-2027I19.3_up-regulated"
"26",4,"CTD-2199O4.6_up-regulated"
"27",4,"CTD-2218G20.1_up-regulated"
"28",4,"CTD-3025N20.3_up-regulated"
"29",4,"CTD-3035D6.1_up-regulated"
"30",5,"CYP27A1_-down-regulated"
"31",4,"DKK3_-down-regulated"
"32",4,"DYRK4_up-regulated"
"33",4,"EEF1B2P6_up-regulated"
"34",4,"EFCAB14_-down-regulated"
"35",4,"EHBP1L1_-down-regulated"
"36",4,"EIF5A_up-regulated"
"37",4,"EMG1_up-regulated"
"38",5,"EPM2AIP1_-down-regulated"
"39",4,"F12_up-regulated"
"40",4,"FAM168B_-down-regulated"
"41",5,"FLNA_-down-regulated"
"42",4,"FZD7_-down-regulated"
"43",4,"GAPDH_up-regulated"
"44",4,"GCHFR_up-regulated"
"45",4,"GNLY_up-regulated"
"46",4,"GTF2A2_up-regulated"
"47",7,"H3F3AP6_up-regulated"
"48",4,"HCG11_-down-regulated"
"49",5,"HSBP1L1_up-regulated"
"50",4,"HSPG2_-down-regulated"
"51",4,"KB-1208A12.3_up-regulated"
"52",6,"KIAA0101_up-regulated"
"53",4,"LINC00261_up-regulated"
"54",4,"LINC01207_up-regulated"
"55",4,"LIX1L_-down-regulated"
"56",5,"LRP1_-down-regulated"
"57",4,"LTBP3_-down-regulated"
"58",8,"LYG1_up-regulated"
"59",4,"MAGEH1_-down-regulated"
"60",4,"MFAP4_-down-regulated"
"61",4,"MGP_-down-regulated"
"62",9,"MLH1_-down-regulated"
"63",4,"MND1_up-regulated"
"64",4,"MSX1_up-regulated"
"65",4,"MTFP1_up-regulated"
"66",4,"MTHFD2_up-regulated"
"67",4,"MYH11_-down-regulated"
"68",4,"MYL5_up-regulated"
"69",4,"MYL9_-down-regulated"
"70",5,"MZT1_up-regulated"
"71",4,"N6AMT2_up-regulated"
"72",5,"NDUFA7_up-regulated"
"73",4,"NDUFV2_up-regulated"
"74",4,"NOS2_up-regulated"
"75",4,"NSMCE2_up-regulated"
"76",4,"NUDCD2_up-regulated"
"77",5,"NUDT8_up-regulated"
"78",4,"NUMA1_-down-regulated"
"79",4,"NYNRIN_-down-regulated"
"80",4,"OS9_-down-regulated"
"81",4,"PAPLN_-down-regulated"
"82",5,"PBK_up-regulated"
"83",4,"PBX1_-down-regulated"
